team,home_game_id,away_game_id,off_eff,def_eff,efg_pct,ts_pct,threepar,ftr,adj_off_eff,adj_def_eff,luck
Abilene Christian Wildcats,"[401823524, 401823525, 401823527, 401823529, 401819840, 401827009, 401805163, 401805166, 401805172]","[401823521, 401823522, 401823523, 401830347, 401827507, 401823526, 401823528, 401805157, 401805160, 401805169]",102.7343954510929,103.5301248050188,0.4941030398737449,0.540295810719452,0.3126508456526894,0.3850991178976731,90.33121746559262,118.02732017701824,0.01726252443237619
Adams State Grizzlies,[401830629],[],80.67226890756302,92.63392857142858,0.3852459016393442,0.4851752021563342,0.4098360655737705,0.4918032786885246,73.92508821633116,97.4633347543856,-0.07358755611757352
Adrian Bulldogs,[401823456],[],74.07407407407408,127.52633077142043,0.391304347826087,0.425775292323335,0.5072463768115942,0.3188405797101449,60.8718802328902,145.09470220631812,-3.162177663330557e-05
Air Force Falcons,"[401811965, 401811108, 401820157, 401820557, 401820559, 401820562, 401820564, 401820565]","[401820550, 401812353, 401820551, 401820552, 401820553, 401820554, 401820555, 401820556, 401820558, 401820560, 401820561, 401820563]",92.27773324764168,114.9649636056256,0.491023186344513,0.5245910784287325,0.4198071413950867,0.3848810128410956,83.16028228852488,119.51734415716344,0.12465735361196492
Akron Zips,"[401820598, 401831205, 401820601, 401814498, 401814510, 401814528, 401814534]","[401820595, 401820596, 401820597, 401820599, 401831208, 401820600, 401809080, 401820602, 401813767, 401820603, 401814505, 401814516, 401814527]",125.5205906395424,102.90608984567464,0.6046160462326976,0.6333334911507085,0.4400129783319451,0.2740849817051624,107.22636946456323,113.666915279645,-0.18212820462773815
Alabama A&M Bulldogs,"[401827172, 401827173, 401827174, 401824953, 401827197, 401827136, 401827201, 401827163, 401827204]","[401827171, 401820839, 401822371, 401827195, 401827196, 401823439, 401827198, 401827199, 401827202, 401827203]",101.94307620587752,105.1730329480166,0.4834634092157109,0.537235888861093,0.3555492904245714,0.4383892857712144,86.93963376125491,122.4909518300603,0.09385538523617781
Alabama Crimson Tide,"[401812261, 401811098, 401808155, 401808170, 401808184]","[401812260, 401812262, 401812263, 401812264, 401831220, 401806376, 401812265, 401812266, 401812267, 401812268, 401812269, 401808152, 401808168, 401808199]",120.26335284479676,107.86083511682388,0.5488732081010274,0.5904574951088708,0.524658297288795,0.3685360972257037,110.11597991137435,108.61538518447996,-0.21868960076541433
Alabama State Hornets,"[401826706, 401826851, 401819863, 401820552, 401827154, 401827155, 401827156, 401827157, 401819849, 401826801, 401827158, 401827159, 401827137, 401827052]","[401827153, 401823377, 401827161, 401827162, 401827163]",102.7886571377463,110.66164033227548,0.4953797278634773,0.5372673450440166,0.3746776546453903,0.3705429489272398,88.22397602906098,126.80750767266952,0.08210982721721286
Alaska Anchorage Seawolves,[401826742],[],90.03690036900369,142.80456385719543,0.4821428571428571,0.5049668874172185,0.5,0.1785714285714285,69.58682209203316,140.69316119506183,-0.0002511255632614618
Albany St (GA) Golden Rams,[401842404],[],106.42709053213548,130.98591549295776,0.5816326530612245,0.6369953673064196,0.4489795918367347,0.5306122448979592,93.3738362988451,158.1610433331818,-0.024503367550335983
Alcorn State Braves,"[401826705, 401829685, 401827233, 401827216, 401829686, 401829421, 401826780, 401826900, 401819876, 401819831, 401828494, 401828663, 401827202, 401827162, 401829687]","[401828915, 401829501, 401827051]",92.28575705572756,119.73760371306236,0.4750666483382834,0.5053315406183063,0.350557708724723,0.263006685123315,81.85909444727675,130.5249442651791,0.14453682463342152
Alfred State Pioneers,[401830010],[],77.4962742175857,160.91954022988506,0.3896103896103896,0.4103535353535353,0.4545454545454545,0.0649350649350649,63.332603467524805,154.77153606556286,-1.5848929412725107e-07
Alice Lloyd College Eagles,[401831190],[],85.19003931847969,151.31578947368422,0.4609375,0.4813388625592417,0.359375,0.125,72.3164141743217,160.2440291948608,-9.99990000099999e-06
Allegheny Gators,[401813346],[],62.251176257690915,117.31843575418996,0.36,0.3740431454418928,0.44,0.34,53.97933238423936,142.8381399233228,-7.942651440013084e-05
American University Eagles,"[401817527, 401817143, 401827434, 401822741, 401817515, 401824364, 401828673, 401826819, 401824389]","[401812574, 401828671, 401828672, 401829395, 401822836, 401826993, 401827515, 401823041, 401820193, 401824386, 401820164, 401828674]",109.33767411519264,104.52436131186232,0.5324937622745158,0.5698485056561398,0.4449525725340137,0.2951978563412426,94.41900589429926,115.79138383990367,-0.12848660704454284
Angelo State Rams,[401826997],[],73.17073170731707,102.52996005326231,0.3363636363636363,0.4010695187165776,0.3636363636363636,0.509090909090909,67.88055325209827,113.36112250506196,-0.004986878736687972
App State Mountaineers,"[401823454, 401826733, 401830742, 401823487, 401826735, 401820813, 401808588, 401808594, 401808604, 401808607]","[401826731, 401826732, 401820799, 401826734, 401826736, 401826737, 401808579, 401808581, 401808617, 401808620, 401808628, 401808634]",109.36518181659328,99.8794771949218,0.514738307495708,0.5379197764923557,0.4456397444141062,0.3524351393467551,93.08677201424636,112.03562369266588,-0.23081601321647083
Apprentice School Builders,[401827523],[],76.09052148245327,122.31620039037088,0.390625,0.421266705403835,0.3125,0.171875,70.4224260504433,135.46493582142585,-0.0002511255632614618
Aquinas Saints,[401823423],[],60.38647342995169,154.61788138093834,0.4245283018867924,0.4423213021939136,0.4339622641509434,0.1509433962264151,58.90248809325881,156.95002566487378,-7.943282284147088e-09
Arcadia,[401822733],[],,,,,,,,,-0.006270012341433838
