home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
New Hampshire Wildcats,Syracuse Orange,72,83,-11,0,0,-15.333333333333334,-14.545376772022363,8.109365344698176,-4.852646440301569,1.402692412464404,-0.0198174870113315,-0.0321836667197875,0.1798546798908542,0.0396184295640544,-0.0998791127704321,-6.255338852765972,0.6247776946926779,0.12396509646616694
Tarleton State Texans,Virginia Cavaliers,50,80,-30,0,0,-24.5,-32.25856298230474,26.64448202364601,-17.33331707873066,17.322091581088515,-0.1655925737310354,-0.1339506769031963,-0.0046521190605149,0.0517409734344123,0.0101513864673979,-34.65540865981917,-0.35180044649143233,5.738678313680269
North Carolina A&T Aggies,Pittsburgh Panthers,52,100,-48,0,0,-38.5,-36.05277379862068,34.20908334866637,-21.783061637068812,27.90037572742277,-0.1465236428160215,-0.1491914575681293,0.0876897528179249,-0.1567762674838984,0.2051989917519973,-49.68343736449158,-10.194991253967181,7.279798230266942
Niagara Purple Eagles,Notre Dame Fighting Irish,63,70,-7,0,0,-9.5,-0.2485109042831936,12.013260695543591,1.3441851145158807,19.022687133492894,0.0016579812379337,0.0028049429045794,-0.1388468694107525,-0.0718806916087256,-0.1635994606637034,-17.678502018977014,2.892193395646831,-0.029310624662236925
UMBC Retrievers,Louisville Cardinals,93,94,-1,0,0,-15.666666666666666,-0.906488932128198,8.322015532849463,-0.4091063062093951,6.753332378309324,0.0436277555799735,-0.0031706780930208,-0.0081757500568312,-0.1950843831625872,-0.1277972478505742,-7.162438684518719,0.9153399517799793,-0.3124811242847296
The Citadel Bulldogs,NC State Wolfpack,59,72,-13,0,0,-0.5,-9.25869348458916,-5.157101076149047,-5.297752114814571,-7.506277344206481,0.0072437354350685,-0.0062465716079275,0.0383511042047263,-0.0062739090695663,-0.1211003629958228,2.2085252293919115,-0.2674532069647933,0.015997972463388976
Radford Highlanders,North Carolina Tar Heels,70,86,-16,0,0,-16.666666666666668,-18.016487114634018,21.9252540461885,-14.288344951149696,18.040206418019537,-0.0517768982137695,-0.071009043368851,0.0398485681459109,-0.2403538847016745,0.4498209435544165,-32.32855136916923,-14.542059480627127,1.6738721136400938
Winthrop Eagles,Clemson Tigers,56,78,-22,0,0,-12.6,-27.647100758185047,2.3734304427610766,-22.42337451995047,-1.3205527148358982,-0.1161847773966631,-0.0989309149043858,-0.0025120879188285,0.119658375172963,0.0929512666012427,-21.102821805114573,-1.9615340156457224,2.4518266538686846
NJIT Highlanders,Miami Hurricanes,60,101,-41,0,0,-32.5,-25.102210262048104,24.870169010325355,-17.687372262970285,16.008737746049107,-0.1222610220667362,-0.1370454479022107,0.0680682045006988,-0.1428227037473046,0.1689825788246509,-33.69611000901939,-5.694055565683228,4.119720849375891
Georgia Southern Eagles,Georgia Tech Yellow Jackets,62,84,-22,0,0,-23.666666666666668,-23.984485400606317,5.62840335604136,-21.09263670243837,2.077791573646934,-0.0752584316148594,-0.0796076924437597,0.0262162513174114,-0.1257850163223765,-0.1799057968124494,-23.170428276085303,4.168494361494835,1.7437700919027703
