home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
The Citadel Bulldogs,Clemson Tigers,69,80,-11,0,0,-30.333333333333332,-24.119084920899127,29.19914077712656,-14.81812218712345,27.368749394839327,-0.0883647140115078,-0.1184283151222995,0.0110868929259125,-0.1779416275479095,0.1360220111525444,-42.18687158196278,-5.738343116812699,3.727830842380347
Jacksonville Dolphins,Duke Blue Devils,44,71,-27,0,0,-21.5,-35.558703585394056,7.037340668428087,-30.357968929825415,1.7787178288543115,-0.1176482337215035,-0.131836470325907,0.0184888949016268,-0.1944799697915995,0.1142279360861829,-32.13668675867973,-3.6709074010921485,3.7808244348198996
Stetson Hatters,Florida State Seminoles,83,74,9,0,0,-14.5,0.5450954653072131,16.200897075777206,1.6982106656236198,17.87997704215519,-0.0332409850091185,-0.0313738708896661,0.0974763752258434,-0.03824466419712,0.3396996096877482,-16.18176637653157,-5.496939722166102,0.5378978535433436
UT Martin Skyhawks,Pittsburgh Panthers,58,80,-22,0,0,-13.0,-26.258732744618555,2.157626313451118,-19.635289777930552,-2.327266467653345,-0.0973707346657311,-0.0985521079302995,-0.1605250262578951,0.022827832397136,0.0957863034943152,-17.308023310277207,-1.6578715736848946,1.6852949453332906
Lafayette Leopards,Miami Hurricanes,54,67,-13,0,0,-13.666666666666666,-20.16539343184745,15.594805895362214,-15.91533838417135,9.754882283884823,-0.0843466175267352,-0.1091766132628327,0.2198066934458677,-0.0413183774599471,0.0201552912985688,-25.670220668056174,-0.5173907752632136,2.165196284515427
Clayton State Lakers,Georgia Tech Yellow Jackets,63,93,-30,0,0,-30.0,-10.186170362870868,17.56796501540748,-10.241232740215397,24.12851052926071,-0.0691662683359226,-0.0768177230625217,-0.049085961877253,-0.0788231130200846,-0.0025814710525761,-34.3697432694761,0.0887244973346248,2.377226885613354
Cornell Big Red,Boston College Eagles,77,79,-2,0,0,-6.333333333333333,1.8132359159737348,10.368042805119046,2.666076953151716,2.6353027816006147,0.0353703732036487,0.006300314881687,0.251705722331984,-0.1710964142703437,-0.3724842730684076,0.0307741715511014,-0.011462894919494475,0.001088493932795565
Austin Peay Governors,NC State Wolfpack,50,99,-49,0,0,-36.666666666666664,-40.38841278033384,25.670726816982608,-23.89795304378424,14.565586726915429,-0.2030076197297347,-0.1676091115389469,-0.011877123093948,-0.0149384403986556,0.1550451329170923,-38.46353977069967,-5.963584636209996,7.808391655229725
Lehigh Mountain Hawks,Syracuse Orange,72,90,-18,0,0,-22.0,-20.54737001229344,19.06517418588399,-12.364829379641025,15.209880924932634,-0.0492906763594821,-0.0711108608108078,0.0205057839787262,-0.2180504299234951,0.0227072601511453,-27.574710304573657,-0.6261461204784211,1.3591761213292162
Fairfield Stags,Wake Forest Demon Deacons,59,71,-12,0,0,-12.5,-13.14644512029156,2.3461446218608017,-13.145306177654687,-7.259806727556935,-0.0688647131103417,-0.0685157900016182,0.0065548055162831,-0.0769812651085748,0.0306001127185744,-5.885499450097754,-0.1800969465780989,0.4053032311420557
UNC Wilmington Seahawks,North Carolina Tar Heels,56,69,-13,0,0,-23.333333333333332,-23.2075262666074,20.717148172316328,-16.299078988155898,16.782288623553796,-0.1559221405160494,-0.1440370213594659,-0.054658279424647,-0.0528292043635398,0.1476047859209219,-33.081367611709695,-4.882968184297729,5.158117649216085
North Carolina Central Eagles,Virginia Cavaliers,61,73,-12,0,0,-11.333333333333334,-13.594644890298696,18.34764238839476,-7.453238129695478,11.5358512109824,-0.0244248298112379,-0.0462303896307904,-0.0725283717260091,-0.1721445820641604,-0.0070934737281156,-18.98908934067788,0.13469860635893852,0.46380527541644884
Delaware State Hornets,Virginia Tech Hokies,57,95,-38,0,0,-24.25,-30.327357612215422,17.183953327652077,-22.808082908236287,9.11413988515264,-0.1167766696302661,-0.1135523184735662,-0.099187174382718,-0.0545378184783728,0.1873469110249891,-31.92222279338893,-5.980529833392914,3.7277708650073293
Bellarmine Knights,Louisville Cardinals,67,66,1,0,0,-11.25,3.794851450697536,6.20865368389633,5.995641002030979,6.248881079319503,0.0153556983846339,0.0116546165984662,0.0681473515689913,-0.0621955455113311,0.1152894678138919,-0.2532400772885239,-0.02919591373974277,-0.0038886782457439504
Lehigh Mountain Hawks,Virginia Tech Hokies,52,78,-26,0,0,-22.0,-22.07854603383109,23.471254127130436,-15.8183924805286,20.279869870676677,-0.0686923083699087,-0.0827770414250875,-0.0703303773214616,-0.1643345866480063,0.1848212002406587,-36.09826235120528,-6.671724174351942,2.479672969046858
Radford Highlanders,Notre Dame Fighting Irish,76,79,-3,0,0,-7.0,-9.331612840238265,-0.0390183563819732,-3.8561608411510946,-6.502859501981163,-0.0509183002918756,-0.0589864500764042,-0.0634378118019379,0.024200429658209,-0.1603851932584429,2.6466986608300687,-0.42449127621409255,-0.13476539719425043
