team,home_game_id,away_game_id
Abilene Christian Wildcats,"[401583590, 401594528, 401600131]",[]
Alabama A&M Bulldogs,"[401600099, 401583796, 401594553, 401594535]",[]
Alabama Crimson Tide,"[401577636, 401577643, 401582161, 401577597, 401591434, 401597112, 401597127, 401597143, 401597159]","[401574551, 401591429, 401591430, 401591431, 401591432, 401591433, 401591435, 401584378, 401597119, 401597130, 401597146, 401597150, 401597166]"
Alabama State Hornets,"[401600113, 401594542, 401584432, 401583799]",[]
Alcorn State Braves,"[401583762, 401592370, 401577624, 401594524, 401578013]",[]
American University Eagles,"[401584334, 401584356, 401575483]",[]
App State Mountaineers,[],[401581830]
Arizona State Sun Devils,"[401597957, 401607342]","[401581724, 401582154, 401582152]"
Arizona Wildcats,"[401576148, 401577644]","[401592391, 401584414, 401591434]"
Arkansas Razorbacks,"[401581524, 401581521, 401584354, 401597121, 401597124, 401597148, 401597162, 401597164]","[401574555, 401594524, 401594525, 401581855, 401594526, 401580925, 401594527, 401593938, 401594528, 401594529, 401597113, 401597131, 401597137, 401597151]"
Arkansas State Red Wolves,"[401594615, 401584411, 401594611, 401591433]",[]
Arkansas-Pine Bluff Golden Lions,"[401600442, 401594537, 401584353, 401591372]",[]
Army Black Knights,[401577613],[]
Auburn Tigers,"[401582155, 401577616, 401583794, 401582158, 401581830, 401597113, 401597135, 401597146, 401597155, 401597165]","[401574556, 401583795, 401583796, 401583797, 401583798, 401583799, 401583800, 401583801, 401597116, 401597123, 401597138, 401597161]"
BYU Cougars,"[401582152, 401593954, 401603405, 401603417, 401603431, 401603458, 401603463]","[401582153, 401593949, 401593950, 401593951, 401593952, 401593953, 401587218, 401593955, 401593956, 401593957, 401593958, 401603398, 401603419, 401603434, 401603440]"
Ball State Cardinals,[401588609],[]
Baylor Bears,"[401576155, 401592434, 401582118, 401581799, 401603403, 401603421, 401603430, 401603450]","[401583794, 401610179, 401602630, 401581803, 401584438, 401602358, 401574569, 401604912, 401598580, 401603405, 401603412, 401603439, 401603452, 401603460]"
Bellarmine Knights,"[401598960, 401598958, 401575472, 401593957]",[]
Bethune-Cookman Wildcats,"[401574616, 401606614, 401574626]",[]
Binghamton Bearcats,"[401574591, 401574590]",[]
Boise State Broncos,"[401583761, 401581336]",[401581571]
Boston College Eagles,"[401593809, 401581585, 401574558, 401604108, 401604118, 401604120, 401604145, 401604153]","[401576156, 401593790, 401581739, 401581584, 401604089, 401592106, 401593810, 401583793, 401593811, 401604099, 401604127, 401604134, 401604158, 401604170]"
Boston University Terriers,[401597961],[]
Brown Bears,[401577663],[]
Bryant Bulldogs,"[401600448, 401594547, 401603539, 401577607]",[]
Bucknell Bison,"[401576150, 401594483]",[]
Buffalo Bulls,[401581166],[]
Butler Bulldogs,"[401574577, 401581571, 401599445, 401599470, 401599481, 401599491, 401599500, 401599513, 401599519]","[401581567, 401574559, 401581162, 401581163, 401581164, 401581165, 401581166, 401581167, 401581168, 401599438, 401599474, 401599485, 401599495, 401599504]"
Cal State Fullerton Titans,"[401574836, 401575462]",[]
California Golden Bears,"[401578030, 401581167]",[]
Campbell Fighting Camels,[401584330],[]
Canisius Golden Griffins,"[401586910, 401577555]",[]
Central Arkansas Bears,"[401574410, 401574421, 401574412, 401574420]",[]
Central Connecticut Blue Devils,[401592106],[]
Central Michigan Chippewas,"[401586905, 401577637, 401584349, 401577595]",[]
Chaminade Silverswords,[],"[401581601, 401575875]"
Charleston Southern Buccaneers,"[401583591, 401581090, 401583599, 401592851]",[]
Charlotte 49ers,[401576153],[401614679]
Chattanooga Mocs,"[401594561, 401583800]",[]
Chicago State Cougars,"[401581722, 401584416, 401598975, 401600246, 401597893]",[]
