team,home_game_id,away_game_id
Delaware State Hornets,"[401706900, 401715348, 401715535]",[]
Denver Pioneers,[401715692],[]
Detroit Mercy Titans,"[401700467, 401715447]",[]
Drake Bulldogs,"[401729794, 401706978]",[401715587]
Drexel Dragons,[],[401715420]
Duke Blue Devils,"[401706883, 401706885, 401724775, 401724779, 401724791, 401724812, 401724827, 401724850]","[401706881, 401706882, 401706884, 401706886, 401706887, 401706888, 401706889, 401706890, 401724783, 401724757, 401724748, 401724800, 401724830, 401724844]"
Duquesne Dukes,[401715459],[]
East Carolina Pirates,[401715331],[]
East Texas A&M Lions,"[401715378, 401715356, 401727258, 401715610]",[]
Eastern Illinois Panthers,"[401707847, 401707858, 401715400, 401715460, 401712998]",[]
Eastern Kentucky Colonels,"[401700419, 401711633, 401700433]",[]
Eastern Washington Eagles,"[401715435, 401715309, 401706918, 401718470]",[]
Elon Phoenix,"[401700434, 401715684]",[]
Evansville Purple Aces,[401715407],[]
Fairfield Stags,[401715467],[]
Fairleigh Dickinson Knights,"[401715674, 401706875, 401707986, 401715395, 401715449, 401715620]",[]
Florida A&M Rattlers,"[401700443, 401700422, 401707868, 401714892, 401706980, 401720544, 401706917]",[]
Florida Atlantic Owls,"[401721649, 401715645, 401729793]",[401715588]
Florida Gators,"[401714891, 401714894, 401700439, 401708302, 401708316, 401708344, 401708366]","[401700457, 401714888, 401714889, 401714890, 401714892, 401714893, 401729798, 401714895, 401711752, 401711763, 401708310, 401708326, 401708332, 401708349, 401708369]"
Florida Gulf Coast Eagles,"[401714923, 401706981]",[]
Florida State Seminoles,"[401715652, 401715656, 401714922, 401724774, 401724762, 401724749, 401724820, 401724826, 401724840]","[401715651, 401715653, 401714891, 401715654, 401715655, 401733679, 401722295, 401715658, 401724777, 401724793, 401724804, 401724814, 401724834, 401724848]"
Fordham Rams,"[401715590, 401715561]",[401715417]
Fresno State Bulldogs,[401706915],[]
Furman Paladins,[401706966],[]
Gardner-Webb Runnin' Bulldogs,"[401715689, 401715335]",[]
George Mason Patriots,"[401706890, 401715477]",[]
George Washington Revolutionaries,[401706975],[]
Georgetown Hoyas,"[401715474, 401706993, 401719079, 401719090, 401719101, 401719110, 401719117, 401719130]","[401715468, 401715466, 401715467, 401715469, 401715470, 401715471, 401715472, 401715473, 401719073, 401715475, 401719085, 401719099, 401719105, 401719122, 401719125]"
Georgia Bulldogs,"[401714898, 401714900, 401708304, 401708329, 401708342, 401708349, 401708360]","[401714903, 401714896, 401714897, 401711745, 401714899, 401714901, 401714902, 401714904, 401714905, 401714906, 401714907, 401708311, 401708317, 401708333, 401708355, 401708370]"
Georgia State Panthers,"[401720567, 401714912, 401714646]",[]
Georgia Tech Yellow Jackets,"[401715671, 401724770, 401715403, 401724759, 401724756, 401724814, 401724832, 401724849]","[401715667, 401711744, 401715668, 401714898, 401715631, 401715669, 401715670, 401715672, 401724779, 401715673, 401724782, 401724796, 401724799, 401724818, 401724841]"
Gonzaga Bulldogs,"[401729740, 401710007, 401715867, 401715614]","[401714913, 401727062, 401722304]"
Grambling Tigers,"[401721658, 401715318, 401714890, 401715635]",[]
Grand Canyon Lopes,"[401714904, 401715987]",[401715698]
Green Bay Phoenix,"[401715409, 401719217, 401715534]",[]
Hampton Pirates,[401715533],[]
