game_id,game_day,home_team,away_team,home_score,away_score,is_conference,is_neutral,tournament,point_spread,home_win,home_game_id_x,away_game_id_x,off_eff_hometeam,def_eff_hometeam,efg_pct_hometeam,ts_pct_hometeam,threepar_hometeam,ftr_hometeam,adj_off_eff_hometeam,adj_def_eff_hometeam,home_game_id_y,away_game_id_y,off_eff_awayteam,def_eff_awayteam,efg_pct_awayteam,ts_pct_awayteam,threepar_awayteam,ftr_awayteam,adj_off_eff_awayteam,adj_def_eff_awayteam,net_rating_hometeam,net_rating_awayteam,luck_hometeam,luck_awayteam,home_advantage
401482897,2022-11-07,The Citadel Bulldogs,Clemson Tigers,69,80,False,False,,-11,0,"[401482897, 401482952, 401485147]",[],82.42074129732724,125.5206215874744,0.4469627594627594,0.4632466948420946,0.4084249084249085,0.1522690272690272,77.48859703820959,131.33414558215193,"[401482898, 401486408, 401488403, 401488410, 401488414, 401488437, 401488457, 401488464]","[401482897, 401482899, 401482900, 401482901, 401482902, 401479674, 401488389, 401482903, 401482904, 401482905, 401500553, 401488425, 401488428, 401488448, 401488451, 401488472]",106.53982621822637,96.32148081034784,0.5353274734742672,0.5816750099643941,0.3973380154989959,0.3302106548169367,92.30671922533304,103.9653961873126,-53.84554854394234,-11.658676961979566,-0.0009252618258234,-0.1369472729783678,-30.333333333333332
401482906,2022-11-07,Jacksonville Dolphins,Duke Blue Devils,44,71,False,False,,-27,0,"[401482906, 401482964]",[],70.9516478077671,103.2170989312838,0.3778398151713515,0.4074473220399869,0.3700423565652676,0.108394301116673,64.09891793793022,103.98713813559571,"[401482908, 401482911, 401486746, 401486751, 401488398, 401488411, 401488415, 401488428, 401488449, 401488458, 401488477]","[401482906, 401482907, 401482909, 401482910, 401479678, 401488392, 401482912, 401482913, 401488404, 401488426, 401488444, 401488465, 401488473]",106.51035139316116,96.17975826285571,0.4954880488928551,0.539283792365894,0.3515534616636408,0.3028742709082725,94.45688686775564,102.2084203067414,-39.88822019766549,-7.75153343898576,-0.0070296914396392,-0.1212576275258221,-21.5
401482914,2022-11-07,Stetson Hatters,Florida State Seminoles,83,74,False,False,,9,1,"[401482914, 401483035]",[],102.9734658181683,124.55582654605205,0.4802671523982999,0.5138470894077418,0.4442926533090467,0.2792956891317547,93.33597091537106,132.030078952017,"[401482915, 401486728, 401486729, 401486735, 401488390, 401488404, 401488424, 401488438, 401488443, 401488466, 401488470]","[401482914, 401482916, 401482917, 401482918, 401479679, 401488396, 401482920, 401482921, 401488401, 401488416, 401488433, 401488450, 401488457]",102.42837035286108,108.35492947027484,0.5135081374074185,0.545220960297408,0.3468162780832033,0.3175403533288747,91.63776024974744,114.1501019098618,-38.69410803664593,-22.51234166011436,0.465734448715175,0.1260348390274267,-14.5
401482965,2022-11-07,UT Martin Skyhawks,Pittsburgh Panthers,58,80,False,False,,-22,0,"[401482965, 401483209]",[],82.70389551517536,99.98758001408588,0.4276974416017797,0.4629925143619799,0.3256395995550611,0.3228587319243604,76.92818527445263,103.96912719136998,"[401486295, 401479671, 401488388, 401482971, 401488399, 401488426, 401488432, 401488440, 401488469]","[401482965, 401482966, 401482967, 401482968, 401482969, 401482970, 401482972, 401482973, 401500555, 401488409, 401488414, 401488443, 401488455, 401488460]",108.96262825979392,97.82995370063476,0.5250681762675108,0.5615446222922794,0.4861646258129563,0.3000308995272243,96.56347505238318,106.29639365902332,-27.040941916917347,-9.73291860664014,-0.0477267210342039,-0.1435130245285191,-13.0
401482929,2022-11-07,Lafayette Leopards,Miami Hurricanes,54,67,False,False,,-13,0,"[401482929, 401483401, 401485134]",[],92.53960574056003,115.4091206386391,0.4639474591257175,0.4765615730470168,0.5766083711729533,0.2568598360532901,84.90411771439032,115.74966688376098,"[401482932, 401486451, 401482934, 401488394, 401500554, 401488412, 401488429, 401488444, 401488450, 401488460, 401488472]","[401482929, 401482930, 401482931, 401482933, 401479680, 401482935, 401488397, 401482936, 401488400, 401488423, 401488435, 401488467, 401488477]",112.70499917240748,99.81431474327688,0.5482940766524528,0.5857381863098495,0.3568016777270855,0.2981782135132372,100.81945609856167,105.99478459987616,-30.845549169370656,-5.175328501314482,-0.041214932678401,-0.0613702239769698,-13.666666666666666
401488558,2022-11-07,Clayton State Lakers,Georgia Tech Yellow Jackets,63,93,False,False,,-30,0,[401488558],[],86.03618982587915,121.72774869109946,0.4,0.4208979155531801,0.3142857142857143,0.1571428571428571,76.08687544960549,136.7245461566895,"[401482922, 401479677, 401488395, 401488416, 401488422, 401488451, 401488468, 401488471]","[401488558, 401482923, 401482924, 401486310, 401482925, 401482926, 401482927, 401482928, 401488403, 401488405, 401488412, 401488432, 401488439, 401488446, 401488458]",96.22236018875002,104.15978367569198,0.4691662683359227,0.4977156386157019,0.3633716761629673,0.2359659701629418,86.32810818982088,112.5960356274288,-60.63767070708403,-26.267927437607923,-0.0009990009990009,0.0015824700535752,-30.0
401482889,2022-11-07,Cornell Big Red,Boston College Eagles,77,79,False,False,,-2,0,"[401482889, 401482935, 401482982]",[],102.3809554232621,113.22707784593013,0.5243008188544498,0.5301863326511104,0.5529012404428794,0.1302641272661259,93.05711444605112,113.9401339594009,"[401482892, 401479683, 401488392, 401482895, 401500552, 401488423, 401488436, 401488442, 401488456]","[401482889, 401482890, 401482891, 401486446, 401486449, 401482893, 401482894, 401482896, 401488402, 401488408, 401488415, 401488434, 401488454, 401488464, 401488474]",100.56771950728836,102.85903504081108,0.488930445650801,0.5238860177694233,0.3011955181108953,0.3013605415364697,90.3910374928994,111.30483117780028,-20.88301951334978,-20.91379368490088,-0.1887268775581921,0.1837573955102155,-6.333333333333333
401482938,2022-11-07,Austin Peay Governors,NC State Wolfpack,50,99,False,False,,-49,0,"[401482938, 401483406, 401483228]",[],70.3418840562276,122.40662772164468,0.3126874697629414,0.3837520178223004,0.3598012050842239,0.28223600299072,72.56839494544552,119.53789679575614,"[401482942, 401488397, 401482946, 401500553, 401488418, 401488439, 401488445, 401488461]","[401482938, 401482939, 401482940, 401482941, 401486718, 401486721, 401482943, 401488388, 401482944, 401482945, 401488365, 401488411, 401488429, 401488453, 401488466, 401488471]",110.73029683656144,96.73590090466207,0.5156950894926761,0.5513611293612474,0.3716783281781719,0.2971744433893756,96.46634798922976,104.97231006884071,-46.96950185031062,-8.505962079610953,-0.0002153970631126,-0.1552605299802049,-36.666666666666664
401482974,2022-11-07,Lehigh Mountain Hawks,Syracuse Orange,72,90,False,False,,-18,0,"[401482974, 401482992, 401483425]",[],87.19632349797428,121.15326483163388,0.475412387177093,0.4901950417005874,0.3137254901960784,0.0924369747899159,81.09268625799952,124.52203509782844,"[401482977, 401486676, 401479672, 401488391, 401488407, 401488419, 401488435, 401488446, 401488462, 401488474]","[401482974, 401482975, 401482976, 401482978, 401482979, 401482980, 401482981, 401482982, 401488399, 401500552, 401488427, 401488431, 401488452, 401488463]",107.74369351026772,102.08809064574989,0.5247030635365751,0.5613059025113952,0.2932197062173522,0.310487404713411,93.45751563764054,109.3121541728958,-43.42934883982892,-15.854638535255262,-0.0062700123414338,-0.0289772724925791,-22.0
401482999,2022-11-07,Fairfield Stags,Wake Forest Demon Deacons,59,71,False,False,,-12,0,"[401482999, 401485140]",[],96.03077396805408,105.63434555606769,0.4794487427466151,0.5176752157762482,0.4429400386847195,0.2647485493230174,86.10618014224028,102.8042762100237,"[401486434, 401479676, 401488389, 401483005, 401483007, 401488413, 401488420, 401488434, 401488455, 401488465, 401488476]","[401482999, 401483000, 401483001, 401483002, 401483003, 401483004, 401483006, 401488398, 401488406, 401488424, 401488437, 401488447, 401488461]",109.17721908834564,103.28820093420688,0.5483134558569568,0.5861910057778664,0.4363852331684363,0.3417298144315923,99.25148631989497,110.06408293758064,-16.698096067783425,-10.81259661768567,-0.0532402152020224,-0.0838403279205969,-12.5
