team,home_game_id,away_game_id
Abilene Christian Wildcats,"[401483237, 401483286]",[]
Akron Zips,[],"[401493700, 401486459]"
Alabama A&M Bulldogs,"[401483342, 401483397, 401483255]",[]
Alabama Crimson Tide,"[401484356, 401488381, 401488384, 401484532, 401484551, 401484561, 401484573, 401479706, 401484592]","[401486744, 401488380, 401485298, 401488382, 401486740, 401488383, 401488385, 401488386, 401488387, 401484533, 401484545, 401484554, 401484580, 401484585]"
Alabama State Hornets,"[401482968, 401482928]",[]
Alcorn State Braves,"[401483206, 401483229]",[]
American University Eagles,[401485151],[]
App State Mountaineers,"[401488663, 401483006]",[]
Arizona State Sun Devils,[401483440],[401486296]
Arizona Wildcats,[],"[401483349, 401483227, 401486694]"
Arkansas Razorbacks,"[401486695, 401484530, 401484542, 401484556, 401484565, 401479702, 401484594]","[401486689, 401489571, 401487626, 401496630, 401486690, 401493952, 401494410, 401489667, 401483296, 401489009, 401491747, 401484538, 401484551, 401484568, 401484577, 401484587]"
Arkansas State Red Wolves,[401485462],[]
Arkansas-Pine Bluff Golden Lions,"[401483380, 401483375, 401494404, 401483298, 401483291, 401483314]",[]
Auburn Tigers,"[401486399, 401483046, 401483048, 401483049, 401484537, 401484549, 401484567, 401484574, 401479711, 401484595]","[401483039, 401483040, 401483041, 401483042, 401483043, 401483044, 401483045, 401483047, 401484529, 401484542, 401484557, 401484581, 401484588]"
Austin Peay Governors,"[401482938, 401483406, 401483228]",[]
BYU Cougars,[],"[401486717, 401485177]"
Baylor Bears,"[401479684, 401483258, 401493376, 401493393, 401493402, 401493408, 401493415]","[401482986, 401479702, 401483265, 401483262, 401483263, 401497571, 401483264, 401483261, 401483257, 401483259, 401483260, 401493384, 401493387, 401493398, 401493410, 401493421]"
Bellarmine Knights,"[401485295, 401482900, 401482910, 401483166]",[]
Bethune-Cookman Wildcats,"[401483352, 401483345, 401483343]",[]
Binghamton Bearcats,[401483359],[]
Boise State Broncos,[401483241],[]
Boston College Eagles,"[401482892, 401479683, 401488392, 401482895, 401500552, 401488423, 401488436, 401488442, 401488456]","[401482889, 401482890, 401482891, 401486446, 401486449, 401482893, 401482894, 401482896, 401488402, 401488408, 401488415, 401488434, 401488454, 401488464, 401488474]"
Boston University Terriers,"[401482961, 401485109]",[]
Bowling Green Falcons,[401482959],[]
Bradley Braves,"[401483043, 401489009]",[]
Brown Bears,"[401484856, 401483390]",[]
Bryant Bulldogs,[401482978],[]
Bucknell Bison,"[401483418, 401483052]",[]
Buffalo Bulls,"[401484858, 401483335, 401485137]",[]
Butler Bulldogs,"[401486721, 401479694, 401483233, 401486717, 401483449, 401485191, 401485202, 401485212, 401485213, 401485232, 401485235, 401485248]","[401479687, 401485101, 401485142, 401485147, 401485166, 401485168, 401485186, 401485196, 401485207, 401485218, 401485224, 401485239]"
California Baptist Lancers,[401483374],[]
California Golden Bears,[401483302],"[401486408, 401483282, 401483449]"
Campbell Fighting Camels,[401482939],[]
Canisius Golden Griffins,[401483402],[]
Central Arkansas Bears,"[401483297, 401483307]",[]
Central Connecticut Blue Devils,"[401483416, 401485139]",[]
Central Michigan Chippewas,"[401483373, 401483370, 401485108]",[]
Charleston Cougars,[401482948],[401486304]
Charleston Southern Buccaneers,"[401482995, 401483392]",[]
Chattanooga Mocs,"[401483208, 401483057]",[]
Chicago State Cougars,"[401483383, 401483376, 401485160]",[]
Cincinnati Bearcats,[],"[401486697, 401486692, 401485174]"
Clayton State Lakers,[401488558],[]
Clemson Tigers,"[401482898, 401486408, 401488403, 401488410, 401488414, 401488437, 401488457, 401488464]","[401482897, 401482899, 401482900, 401482901, 401482902, 401479674, 401488389, 401482903, 401482904, 401482905, 401500553, 401488425, 401488428, 401488448, 401488451, 401488472]"
Coastal Carolina Chanticleers,[401483199],[]
Colgate Raiders,"[401482975, 401483045]",[]
Colorado Buffaloes,"[401483231, 401486325]",[]
Colorado State Rams,[401483217],[401486305]
Columbia Lions,"[401483411, 401485159]",[]
Coppin State Eagles,"[401482944, 401483361, 401483419, 401485105]",[]
Cornell Big Red,"[401482889, 401482935, 401482982]",[]
Creighton Bluejays,"[401486690, 401479688, 401486694, 401485177, 401485184, 401485208, 401485217, 401485224, 401485243]","[401483381, 401483322, 401485099, 401485107, 401485136, 401485141, 401483440, 401485191, 401485192, 401485204, 401485220, 401485236, 401485237, 401485250]"
Davidson Wildcats,[401483408],[401486301]
Dayton Flyers,"[401486718, 401482996]",[401483423]
DePaul Blue Demons,"[401479695, 401483388, 401486359, 401485165, 401485172, 401485182, 401485192, 401485207, 401485231, 401485233, 401485251]","[401483239, 401485104, 401485131, 401485146, 401485164, 401485179, 401485197, 401485201, 401485215, 401485219, 401485226, 401485238, 401485242]"
Delaware Blue Hens,[401482909],[]
Delaware State Hornets,"[401482991, 401483404, 401484364, 401485149]",[]
Detroit Mercy Titans,[401482890],[]
Drake Bulldogs,[],[401483193]
Drexel Dragons,[401485181],[]
Duke Blue Devils,"[401482908, 401482911, 401486746, 401486751, 401488398, 401488411, 401488415, 401488428, 401488449, 401488458, 401488477]","[401482906, 401482907, 401482909, 401482910, 401479678, 401488392, 401482912, 401482913, 401488404, 401488426, 401488444, 401488465, 401488473]"
Duquesne Dukes,[401497509],[401485182]
East Carolina Pirates,[401483223],[]
East Tennessee State Buccaneers,"[401483054, 401485469]",[]
East Texas A&M Lions,[401483318],[]
Eastern Illinois Panthers,"[401483337, 401483393, 401483356]",[]
Eastern Kentucky Colonels,[401483230],[]
Eastern Michigan Eagles,"[401483366, 401483225]",[]
Eastern Washington Eagles,[401483324],[]
Elon Phoenix,"[401482941, 401483350]",[]
Fairfield Stags,"[401482999, 401485140]",[]
