home_team,away_team,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction,Unnamed: 15,is_conference,is_neutral
North Carolina Tar Heels,Pittsburgh Panthers,-25.65,8.679065578,-8.573021947,3.739419512,-6.005896982,0.04059729,0.042959696,0.018315363,0.09535797,0.033139976,9.745316493508383,0.3229595504183972,0.3956334386226489,,1,0
Syracuse Orange,SMU Mustangs,-6.205128205,-10.13349402,-6.006372484,-7.675720714,-0.637835437,-0.023111991,-0.037937337,0.020913123,0.044593747,-0.060123921,-7.037885277,0.4231452593668711,0.1626595425750247,,1,0
NC State Wolfpack,Miami Hurricanes,-7.636363636,1.7614461679106768,3.641610497633863,1.5626332306260622,0.6237523363430029,-0.005742453,0.003625575,0.1100443015981326,-0.014573833,-0.083273226,0.9388808942830592,-0.078183641,-0.00539148,,1,0
Wake Forest Demon Deacons,Stanford Cardinal,-17.66666667,2.380258332663402,0.4197637557484626,0.3600494211480054,-1.908126919,0.028501566,0.022697417,0.01778677,-0.105535838,-0.164545207,2.26817634,-0.373217546,0.064646578,,1,0
Louisville Cardinals,Baylor Bears,-19.51666667,2.0743103247931174,-10.34563978,8.501424499,-6.346260959,0.007889195,0.01172482,0.1493936186042973,-0.048490381,0.072613415,14.84768545783848,1.0781411445092026,0.1171362869696364,,0,1
Virginia Cavaliers,Ohio State Buckeyes,-15.50909091,4.533303803933563,-5.604070713,4.663487935552567,-6.527414169,0.0019596,-0.012196715,0.061555275,-0.01226062,0.08962512,11.190902104256024,1.0029859445219902,0.0219296965912496,,0,1
Duke Blue Devils,Syracuse Orange,-5.722222222,13.661272101752658,-6.561323875,7.082834926049344,-7.414731386,0.044701552,0.053249725,0.094655213,0.032969141,0.1801169408658076,14.497566311915222,2.611257294101358,0.6480637183148694,,1,0
Florida State Seminoles,Boston College Eagles,-20.21212121,8.151704005491055,8.431435938413074,4.3898015762603535,8.164471134073793,0.033200482,0.036298272,0.073483366,-0.017990595,-0.093043723,-3.774669558,0.3512093095300725,-0.12532085,,1,0
NC State Wolfpack,North Carolina Tar Heels,-7.636363636,1.744545136318976,1.661342645106444,-1.376715843,1.722428677744361,0.003804342,0.014133774,0.016497898,-0.049925449,-0.11000809,-3.099144521,0.3409309694823976,-0.011790206,,1,0
SMU Mustangs,Louisville Cardinals,-19.01538462,-2.748103125,8.500962413107658,0.8600184304637537,3.1046610651394673,-0.010150412,-0.007500592,-0.196018381,0.003898181,0.084367276,-2.244642635,-0.189374385,0.0227840479088735,,1,0
Miami Hurricanes,Virginia Tech Hokies,-20.2,4.536737213313913,-5.694748533,-1.48029368,-1.881651293,0.042837865,0.030488484,-0.054898741,-0.012919356,-0.057181118,0.4013576126629914,-0.022950077,0.0171933031992659,,1,0
Wake Forest Demon Deacons,Clemson Tigers,-17.66666667,-3.321273763,8.290726664188682,-4.167907721,2.314119242709197,-0.010074177,-0.007220011,0.028381469,-0.052831404,-0.025271219,-6.482026963,0.1638087252900613,0.065301085,,1,0
